city,state,place,pct_non_white
Frazee,Minnesota,22472,11.48396718866518
Inver Grove Heights,Minnesota,31076,17.695356738391844
South Haven,Minnesota,61402,2.7932960893854775
Sherburn,Minnesota,59620,2.0329138431752214
Buffalo,Minnesota,08452,2.479950647748308
Howard Lake,Minnesota,30284,4.518872939925567
Aurora,Minnesota,02872,3.267605633802817
Biwabik,Minnesota,06148,4.013377926421402
Floodwood,Minnesota,21338,1.7817371937639215
Fifty Lakes,Minnesota,21032,1.4705882352941124
Nisswa,Minnesota,46348,4.56796917996698
Minneota,Minnesota,43126,4.524180967238689
Russell,Minnesota,56428,10.472972972972972
Donnelly,Minnesota,16084,7.377049180327866
Appleton,Minnesota,01864,14.660056657223796
Danvers,Minnesota,14734,0.0
De Graff,Minnesota,15418,0.0
Grove City,Minnesota,26126,7.642276422764227
Correll,Minnesota,13384,0.0
Elbow Lake,Minnesota,18440,83.54430379746836
Hitterdal,Minnesota,29402,0.0
Sabin,Minnesota,56554,2.2508038585209
Blaine,Minnesota,06382,20.234270206195216
Centerville,Minnesota,10648,7.126725219573404
Circle Pines,Minnesota,11494,11.050505050505055
Coon Rapids,Minnesota,13114,15.93166658668842
Sunfish Lake,Minnesota,63544,5.166051660516602
West St. Paul,Minnesota,69700,25.572576975580162
Silver Bay,Minnesota,60250,4.0650406504065035
Hatfield,Minnesota,27566,0.0
Two Harbors,Minnesota,65956,2.3368481048731793
Gary,Minnesota,23246,14.330218068535828
Halstad,Minnesota,26630,10.843373493975905
Denham,Minnesota,15670,0.0
Rutledge,Minnesota,56518,0.4608294930875556
Climax,Minnesota,11962,6.048387096774189
Fertile,Minnesota,20978,5.486542443064179
Fisher,Minnesota,21158,7.157057654075549
Gully,Minnesota,26270,5.714285714285716
McIntosh,Minnesota,39050,9.477124183006536
Detroit Lakes,Minnesota,15832,9.394367728607156
Pine Point,Minnesota,51234,97.05093833780161
White Earth,Minnesota,70006,96.11992945326278
Columbia Heights,Minnesota,12700,36.74321503131524
Ramsey,Minnesota,53026,10.492529469179368
Ceylon,Minnesota,10792,1.5060240963855387
Granada,Minnesota,24884,1.945525291828798
Gonvick,Minnesota,24344,21.153846153846157
Miesville,Minnesota,42092,0.0
New Trier,Minnesota,46024,0.0
Randolph,Minnesota,53098,0.8316008316008316
East Lansing,Michigan,24120,24.05754273635823
Muskegon,Michigan,56320,41.20585656205989
Jenison,Michigan,41680,5.415638804428891
Webberville village,Michigan,85080,1.2102874432677768
Romulus,Michigan,69420,46.180983550813956
Ludington,Michigan,49640,4.70938158383939
Warren,Michigan,84000,32.249234033398366
Beal City,Michigan,06360,0.0
Lincoln village,Michigan,47560,5.142857142857138
Algonac,Michigan,01180,3.997020854021849
Level Park-Oak Park,Michigan,47230,9.339942603704666
Prescott village,Michigan,66300,0.8130081300813052
Three Oaks village,Michigan,79720,4.0620384047267315
Zilwaukee,Michigan,89320,7.254196642685851
Baraga village,Michigan,05320,57.88982259570494
McBride village,Michigan,50000,3.6363636363636376
Harper Woods,Michigan,36700,67.1608492263404
Southfield,Michigan,74900,76.88933227649166
Gladwin,Michigan,32320,5.5131761442441025
Metamora village,Michigan,53340,1.310861423220977
White Pigeon village,Michigan,86920,4.959702417854928
Sterling village,Michigan,76420,6.319702602230482
Lake Isabella village,Michigan,44715,2.132816286960737
Belding,Michigan,06900,4.057362714235746
Hubbardston village,Michigan,39660,9.384164222873903
Rosebush village,Michigan,69640,18.65889212827988
Barryton village,Michigan,05580,6.281407035175879
Mecosta village,Michigan,52760,10.148514851485146
Stanwood village,Michigan,76240,1.1673151750972721
Bellevue village,Michigan,07060,5.533279871692065
